contract-number,award-date,expiry-date,gsin,gsin-description_en,supplier-legal-name,supplier-address-city,supplier-address-prov-state,supplier-address-postal-code,supplier-address-country,organization-employee-count_en,total-contract-value,end-user-entity_en,contracting-entity-office-name_en,contracting-address-city,contracting-address-prov-state,contracting-address-postal-code,contracting-address-country
E60ZT-18TSSO-004-ZT,2019-04-10T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",1270665 Ontario Inc.,Ottawa,Ontario,K1H5M4,Canada,1 to 4 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-005-ZT,2019-04-10T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",3925994 Canada Inc.,Ottawa,Ontario,K2A2T6,Canada,1 to 4 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-006-ZT,2019-04-10T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",4336615 Canada Inc. and RFP Solutions Inc. joint-venture,Ottawa,Ontario,K2H8S9,Canada,5 to 9 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-007-ZT,2019-04-10T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",4Forward Inc.,Ottawa,Ontario,K1G4G7,Canada,5 to 9 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-008-ZT,2019-04-10T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",4Plan Consulting Corp.,Nepean,Ontario,K2J4P6,Canada,10 to 19 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-009-ZT,2019-04-10T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",6362222 Canada inc.,Verdun,Quebec,H3E3B3,Canada,200 to 499 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-010-ZT,2019-04-10T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",7320931 Canada Ltd.,Perth,Ontario,K7H3M6,Canada,5 to 9 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-011-ZT,2019-04-10T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",7792395 Canada Inc.,Ottawa,Ontario,K1S3T4,Canada,5 to 9 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-012-ZT,2019-04-10T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",8005931 Canada Inc,Casselman,Ontario,K0A1M0,Canada,1 to 4 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-013-ZT,2019-04-10T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",A Hundred Answers Inc.,Ottawa,Ontario,K1Y4P1,Canada,20 to 49 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-014-ZT,2019-04-10T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",A.Net Solutions Inc.,Gatineau,Quebec,J8X1W2,Canada,5 to 9 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-015-ZT,2019-04-10T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services","Access Corporate Technologies, Inc.",Ottawa,Ontario,K1R7X6,Canada,5 to 9 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-016-ZT,2019-04-10T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",ACF Associates Inc.,Bath,Ontario,K0H1G0,Canada,5 to 9 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-017-ZT,2019-04-10T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",Action Personnel of Ottawa-Hull Ltd.,Ottawa,Ontario,K1P5G4,Canada,5 to 9 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-018-ZT,2019-04-10T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",Adecco Employment Services Limited-Services de placement Adecco Limited,Ottawa,Ontario,K1N7B7,Canada,500 to 999 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-019-ZT,2019-04-10T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",ADGA Group Consultants Inc.,Ottawa,Ontario,K2P1B4,Canada,500 to 999 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-020-ZT,2019-04-08T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services","Adirondack Information Management Inc., The AIM Group Inc. in Joint Venture",Ottawa,Ontario,K1P5G4,Canada,1 to 4 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-021-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",ADRM TECHNOLOGY CONSULTING GROUP CORP,Ottawa,Ontario,K1K3B4,Canada,1 to 4 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-022-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",ADRM Technology Consulting Group Corp. and Randstad Interim Inc,Ottawa,Ontario,K1K3B4,Canada,1000 to 1499 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-023-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",AECOM Canada Ltd,Markham,Ontario,L3T7W3,Canada,5000 employees and over,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-024-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",AEM Human Resources Consulting Ltd,St. Johns,Newfoundland and Labrador,A1A5K1,Canada,1 to 4 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-025-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",Agriteam Canada Consulting Ltd.,Calgary,Alberta,T2X1Z2,Canada,50 to 99 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-026-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",Allswater Marine Consultants Limited,Halifax,Nova Scotia,B4A1B9,Canada,10 to 19 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-027-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",Altis Human Resources (Ottawa) Inc.,Ottawa,Ontario,K1P5N4,Canada,50 to 99 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-028-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services","Altis Human Resources (Ottawa) Inc, .Excel Human Resources Inc., and Altis Human Resources Inc., in Joint Venture",Ottawa,Ontario,K1P5N4,Canada,50 to 99 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-029-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",ALTRUISTIC INFORMATICS CONSULTING INC.,Ottawa,Ontario,K1V8B9,Canada,1 to 4 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-030-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",Artemp Personnel Services Inc.,Ottawa,Ontario,K1P5G4,Canada,5 to 9 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-031-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",Auguste Solutions & Associates Inc.,Rexton,New Brunswick,E4W2E4,Canada,5 to 9 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-032-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",Averna Technologies Inc.,Montréal,Quebec,H3C2M7,Canada,20 to 49 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-033-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",AZUR RESSOURCES HUMAINES LTEE - AZUR HUMAN RESOURCES LTD,Ottawa,Ontario,K1P5H9,Canada,1 to 4 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-034-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",BDO CANADA LLP,Ottawa,Ontario,K1P0B6,Canada,2500 to 4999 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-035-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",Bevertec CST Inc.,Mississauga,Ontario,L4W4Y5,Canada,50 to 99 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-036-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",Beyond Technologies Consulting Inc.,Montreal,Quebec,H3C2M1,Canada,200 to 499 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-037-ZT,2019-04-15T00:00:00Z,2020-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",BMT FLEET TECHNOLOGY LIMITED,Kanata,Ontario,K2K1Z8,Canada,50 to 99 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-038-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",BP&M Government IM & IT Consulting Inc.,Kanata,Ontario,K2K2X3,Canada,10 to 19 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-039-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",Breckenhill Inc.,Kanata,Ontario,K2W1J3,Canada,5 to 9 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-040-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",Bridgetown Consulting Inc.,Kanata,Ontario,K2K2T1,Canada,10 to 19 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-041-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",BURNTEDGE INCORPORATED,Ottawa,Ontario,K1V1A8,Canada,1 to 4 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-042-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",C. B.-Z. Inc.,Kemptville,Ontario,K0G1J0,Canada,1 to 4 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-043-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",CACHE COMPUTER CONSULTING CORP.,Ottawa,Ontario,K1P5H9,Canada,1 to 4 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-044-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",Calian Ltd.,Ottawa,Ontario,K2V1C8,Canada,2500 to 4999 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-045-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services","Canadian & International Project Management Ltd., PROMIL PAUL, BIKASH PAUL , in joint venture",Cambridge,Ontario,N3E1B3,Canada,1 to 4 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-046-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",Cathexis Consulting Inc,Toronto,Ontario,M4W2N4,Canada,5 to 9 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-047-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",CBRE Limited,Ottawa,Ontario,K1S5N4,Canada,5000 employees and over,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-048-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",CHEMinfo Services Inc.,Markham,Ontario,L3R8B8,Canada,5 to 9 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-049-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",CIM - Conseil,Montréal,Quebec,H3A1G1,Canada,50 to 99 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-050-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",CIMA+,Gatineau,Quebec,J8P1E7,Canada,100 to 199 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-051-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",Cistech Limited,Ottawa,Ontario,K2E7K3,Canada,10 to 19 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-052-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",Cistel Technology Inc.,Ottawa,Ontario,K2E7V7,Canada,100 to 199 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-053-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",CloseReach Ltd.,Ottawa,Ontario,K1R7X6,Canada,10 to 19 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-054-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",C M Inc,Markham,Ontario,L3R0E2,Canada,20 to 49 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-055-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",Cocentric Solutions Incorporated,Calgary,Alberta,T2M3Y7,Canada,10 to 19 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-056-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",Collective Staffing and Writing Services Inc.,Ottawa,Ontario,K1Z6S1,Canada,1 to 4 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-057-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",Colliers Project Leaders Inc.,Ottawa,Ontario,K2C1E6,Canada,100 to 199 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-058-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services","COLLIERS PROJECT LEADERS INC., TIREE FACILITY SOLUTIONS INC. IN JOINT VENTURE","Ottawa,",Ontario,K2C1E6,Canada,200 to 499 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-059-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",Congruence Coach Inc.,Gatineau,Quebec,J8P6P3,Canada,Self-employed,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-060-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",Conoscenti Technologies Inc.,Ottawa,Ontario,K1C6C7,Canada,5 to 9 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-061-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",Conseillers en Management Marcon Inc.,Montréal,Quebec,H2Z1B1,Canada,10 to 19 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-062-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",Contract Community,Ottawa,Ontario,K2C0R4,Canada,1 to 4 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-063-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services","CONTRACT COMMUNITY INC., NISHA TECHNOLOGIES INC IN JOINT VENTURE",Ottawa,Ontario,K2C0R4,Canada,5 to 9 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-064-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",COPEM Consulting Inc.,Ottawa,Ontario,K4A1A7,Canada,1 to 4 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-065-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",CORADIX Technology Consulting Ltd.,Ottawa,Ontario,K2P2G3,Canada,20 to 49 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-066-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",NARRATIVE RESEARCH INC.,Halifax,Nova Scotia,B3L2C2,Canada,20 to 49 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-067-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",CYRUS ECHO CORPORATION,Ottawa,Ontario,K1L8K9,Canada,1 to 4 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-068-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",Dale McMurchy Consulting Inc.,Norland,Ontario,K0M2L0,Canada,1 to 4 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-069-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services","Dalian Enterprises and Coradix Technology Consulting, in Joint Venture",Ottawa,Ontario,K2P2G3,Canada,20 to 49 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-070-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",DARE Human Resources Corporation,Ottawa,Ontario,K1P5H9,Canada,100 to 199 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-071-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",DEL-PM INC.,Manotick,Ontario,K4M1A4,Canada,10 to 19 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-072-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",Diane Brousseau & Associates Inc.,Gatineau,Quebec,J9J3Z7,Canada,1 to 4 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-073-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",DIG Insights Inc,Toronto,Ontario,M5H2W9,Canada,50 to 99 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-074-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",DLS Technology Corporation,Ottawa,Ontario,K1H7Y3,Canada,5 to 9 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-075-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",DONNA CONA INC.,Ottawa,Ontario,K2E7L6,Canada,20 to 49 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
E60ZT-18TSSO-076-ZT,2019-04-15T00:00:00Z,2021-05-31T00:00:00Z,R019BF,"Human Resource Services, Business Consulting-Change Management; Project Management Services",Dunn Engineering Inc,Ottawa,Ontario,K1B5M7,Canada,10 to 19 employees,0,Public Works and Government Services Canada,PROF SERV-BUSINESS INITIATIVES,GATINEAU,Quebec,K1A0S5,Canada
